Solver Configuration,LTL,Instance,Result Code,Wall Time
BSaLTic-DHf,safety,adding.3_k1000.dimacs,UNSAT,5533.14
BSaLTic-EHf,safety,adding.3_k1000.dimacs,UNSAT,3426.95
Kissat,safety,adding.3_k1000.dimacs,UNSAT,3330.19
MapleCOMSPS,safety,adding.3_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.3_k1400.dimacs,UNSAT,4946.6
BSaLTic-EHf,safety,adding.3_k1400.dimacs,UNSAT,5510.14
Kissat,safety,adding.3_k1400.dimacs,UNSAT,2605.84
MapleCOMSPS,safety,adding.3_k1400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.3_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.3_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.3_k200.dimacs,UNSAT,973.764
MapleCOMSPS,safety,adding.3_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k100.dimacs,UNSAT,4380.32
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k100.dimacs,UNSAT,4385.48
Kissat,obligation,adding.3_obligation_0.smv_k100.dimacs,UNSAT,186.348
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k100.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.3_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.3_obligation_0.smv_k200.dimacs,UNSAT,2362.91
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k40.dimacs,UNSAT,37.36
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k40.dimacs,UNSAT,31.31
Kissat,obligation,adding.3_obligation_0.smv_k40.dimacs,UNSAT,12.2026
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k40.dimacs,UNSAT,50.31
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.3_obligation_0.smv_k400.dimacs,UNSAT,6362.12
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k600.dimacs,UNSAT,5319.26
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.3_obligation_0.smv_k600.dimacs,UNSAT,4958.97
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k600.dimacs,UNSAT,7060.9
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k80.dimacs,UNSAT,910.97
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k80.dimacs,UNSAT,435.05
Kissat,obligation,adding.3_obligation_0.smv_k80.dimacs,UNSAT,86.2801
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k80.dimacs,UNSAT,831.9
BSaLTic-DHf,obligation,adding.3_obligation_0.smv_k800.dimacs,UNSAT,5889.28
BSaLTic-EHf,obligation,adding.3_obligation_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.3_obligation_0.smv_k800.dimacs,UNSAT,3933.61
MapleCOMSPS,obligation,adding.3_obligation_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,adding.3_reactivity_0.smv_k40.dimacs,UNSAT,7.75
BSaLTic-EHf,reactivity,adding.3_reactivity_0.smv_k40.dimacs,UNSAT,8.59
Kissat,reactivity,adding.3_reactivity_0.smv_k40.dimacs,UNSAT,3.35823
MapleCOMSPS,reactivity,adding.3_reactivity_0.smv_k40.dimacs,UNSAT,8.37
BSaLTic-DHf,reactivity,adding.3_reactivity_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,reactivity,adding.3_reactivity_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
Kissat,reactivity,adding.3_reactivity_0.smv_k400.dimacs,UNSAT,3560.11
MapleCOMSPS,reactivity,adding.3_reactivity_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,adding.3_reactivity_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,reactivity,adding.3_reactivity_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
Kissat,reactivity,adding.3_reactivity_0.smv_k600.dimacs,UNSAT,4480.72
MapleCOMSPS,reactivity,adding.3_reactivity_0.smv_k600.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,reactivity,adding.3_reactivity_0.smv_k80.dimacs,UNSAT,264.08
BSaLTic-EHf,reactivity,adding.3_reactivity_0.smv_k80.dimacs,UNSAT,356.41
Kissat,reactivity,adding.3_reactivity_0.smv_k80.dimacs,UNSAT,71.1036
MapleCOMSPS,reactivity,adding.3_reactivity_0.smv_k80.dimacs,UNSAT,304.01
BSaLTic-DHf,reactivity,adding.3_reactivity_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,reactivity,adding.3_reactivity_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
Kissat,reactivity,adding.3_reactivity_0.smv_k800.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,reactivity,adding.3_reactivity_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,persistence,adding.3_recurrence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,persistence,adding.3_recurrence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
Kissat,persistence,adding.3_recurrence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,persistence,adding.3_recurrence_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,persistence,adding.3_recurrence_0.smv_k200.dimacs,UNSAT,824.26
BSaLTic-EHf,persistence,adding.3_recurrence_0.smv_k200.dimacs,UNSAT,844.19
Kissat,persistence,adding.3_recurrence_0.smv_k200.dimacs,UNSAT,313.786
MapleCOMSPS,persistence,adding.3_recurrence_0.smv_k200.dimacs,UNSAT,607.83
BSaLTic-DHf,persistence,adding.3_recurrence_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,persistence,adding.3_recurrence_0.smv_k400.dimacs,UNSAT,3601.93
Kissat,persistence,adding.3_recurrence_0.smv_k400.dimacs,UNSAT,5099.51
MapleCOMSPS,persistence,adding.3_recurrence_0.smv_k400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,guarantee,adding.3_safety_0.smv_k200.dimacs,SAT,119.25
BSaLTic-DHf,guarantee,adding.3_safety_0.smv_k200.dimacs,SAT,103.31
Kissat,guarantee,adding.3_safety_0.smv_k200.dimacs,SAT,43.003
MapleCOMSPS,guarantee,adding.3_safety_0.smv_k200.dimacs,SAT,112.26
BSaLTic-EHf,guarantee,adding.3_safety_0.smv_k400.dimacs,SAT,1803.88
BSaLTic-DHf,guarantee,adding.3_safety_0.smv_k400.dimacs,SAT,2442.93
Kissat,guarantee,adding.3_safety_0.smv_k400.dimacs,SAT,983.058
MapleCOMSPS,guarantee,adding.3_safety_0.smv_k400.dimacs,SAT,1728.94
BSaLTic-DHf,safety,adding.4_k1000.dimacs,UNSAT,4991.98
BSaLTic-EHf,safety,adding.4_k1000.dimacs,UNSAT,5779.19
Kissat,safety,adding.4_k1000.dimacs,UNSAT,3060.29
MapleCOMSPS,safety,adding.4_k1000.dimacs,UNSAT,4257.26
BSaLTic-DHf,safety,adding.4_k1400.dimacs,UNSAT,5003.84
BSaLTic-EHf,safety,adding.4_k1400.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.4_k1400.dimacs,UNSAT,4488.57
